POP_BEST,POP_AVG,QUALS_CNT,SOL_CNT
346,20.369,0,0
351,270.312,0,0
351,285.242,0,0
351,282.398,0,0
351,283.178,0,0
351,295.074,0,0
351,290.62,0,0
351,298.232,0,0
351,297.447,0,0
351,297.164,0,0
353,294.859,0,0
353,290.442,0,0
353,294.303,0,0
353,289.022,0,0
373,283.716,0,0
374,286.385,0,0
375,291.888,0,0
376,299.43,0,0
388,291.6,0,0
390,302.839,0,0
396,290.991,0,0
396,294.81,0,0
396,295.02,0,0
396,294.647,0,0
398,295.742,0,0
398,297.467,0,0
399,295.349,0,0
403,300.221,0,0
403,296.87,0,0
399,298.121,0,0
397,294.939,0,0
396,299.387,0,0
396,304.757,0,0
396,296.168,0,0
395,297.9,0,0
396,299.907,0,0
396,297.602,0,0
395,304.556,0,0
402,304.912,0,0
402,305.041,0,0
406,298.097,0,0
406,301.279,0,0
406,304.054,0,0
412,301.779,0,0
408,299.795,0,0
408,296.42,0,0
410,299.574,0,0
406,300.966,0,0
414,300.804,0,0
414,301.169,0,0
414,312.017,0,0
492,312.289,0,0
492,318.189,0,0
529,305.19,0,0
529,309.956,0,0
552,322.599,0,0
552,319.66,0,0
552,322.726,0,0
552,334.953,0,0
552,333.661,0,0
552,336.596,0,0
615,350.425,0,0
615,349.456,0,0
616,352.556,0,0
616,359.944,0,0
616,364.944,0,0
616,360.395,0,0
615,357.818,0,0
616,369.728,0,0
666,372.63,0,0
666,359.224,0,0
666,381.019,0,0
666,375.796,0,0
666,381.241,0,0
666,396.705,0,0
666,388.684,0,0
666,380.182,0,0
666,399.92,0,0
666,399.24,0,0
666,401.427,0,0
667,411.582,0,0
675,412.344,0,0
673,421.783,0,0
703,429.846,0,0
703,426.401,0,0
703,433.32,0,0
703,426.834,0,0
727,440.815,0,0
727,426.563,0,0
727,434.946,0,0
745,446.876,0,0
745,441.551,0,0
745,421.796,0,0
745,446.26,0,0
745,460.065,0,0
745,465.417,0,0
745,460.048,0,0
811,468.254,0,0
811,479.056,0,0
813,484.028,0,0
813,505.594,0,0
813,501.361,0,0
813,492.41,0,0
813,491.571,0,0
813,507.778,0,0
813,491.851,0,0
813,508.942,0,0
814,493.682,0,0
814,503.186,0,0
814,511.361,0,0
814,530.613,0,0
816,537.344,0,0
846,544.057,0,0
846,527.709,0,0
846,551.263,0,0
846,538.023,0,0
846,543.164,0,0
846,535.952,0,0
846,553.361,0,0
846,540.556,0,0
846,536.973,0,0
846,519.261,0,0
846,541.045,0,0
850,539.688,0,0
850,543.313,0,0
850,557.6,0,0
850,565.24,0,0
850,552.318,0,0
850,547.091,0,0
850,560.963,0,0
850,561.715,0,0
850,571.42,0,0
850,551.559,0,0
941,547.467,0,0
941,546.443,0,0
943,593.269,0,0
943,598.245,0,0
943,606.351,0,0
923,581.611,0,0
939,584.133,0,0
939,587.219,0,0
941,587.686,0,0
941,595.527,0,0
941,590.308,0,0
941,590.791,0,0
941,586.911,0,0
941,589.061,0,0
941,575.402,0,0
967,601.263,0,0
967,581.372,0,0
980,597.559,0,0
988,623.813,0,0
1000,603.419,2,0
1000,641.723,54,1
1000,639.981,220,4
1000,640.492,240,5
1000,651.971,216,5
1000,658.119,224,13
1000,630.126,221,13
1000,653.924,246,14
1000,642.584,225,16
1000,641.397,219,24
1000,645.723,222,25
1000,634.41,211,17
1000,647.37,233,15
1000,634.011,221,12
1000,650.042,217,10
1000,637.797,207,5
1000,655.856,241,3
1000,640.593,221,1
1000,642.314,226,0
1000,667.473,258,0
1000,635.016,188,0
1000,644.159,223,0
1000,647.958,224,0
1000,621.509,181,0
1000,651.387,205,0
1000,628.315,186,0
1000,647.616,219,0
1000,647.266,223,0
1000,638.991,214,0
1000,642.421,193,0
1000,641.618,206,0
1000,631.73,185,0
1000,638.558,196,0
1000,639.182,180,1
1000,650.544,193,2
1000,632.181,212,5
1000,621.539,205,2
1000,645.332,230,6
1000,644.96,237,8
1000,616.999,194,19
1000,631.541,203,25
1000,644.918,233,24
1000,626.985,207,23
1000,637.873,232,24
1000,656.309,233,22
1000,639.619,228,17
1000,625.45,209,16
1000,644.99,227,15
1000,657.962,250,13
1000,635.036,231,11
1000,640.738,241,14
1000,631.252,229,11
1000,648.51,261,11
1000,646.496,253,15
1000,636.592,232,14
1000,642.263,239,11
1000,656.699,266,13
1000,661.492,266,18
1000,648.829,276,22
1000,629.486,244,21
1000,647.824,247,17
1000,652.469,268,18
1000,644.822,254,13
1000,642.992,244,13
1000,680.38,296,12
1000,670.754,284,13
1000,664.168,281,14
1000,680.84,282,19
1000,668.039,316,33
1000,653.891,309,45
1000,660.868,308,62
1000,674.125,342,73
1000,680.036,342,76
1000,680.732,328,71
1000,673.994,304,55
1000,672.184,334,63
1000,688.338,328,60
1000,669.884,300,54
1000,667.693,323,64
1000,680.912,323,70
1000,678.136,318,82
1000,673.02,316,85
1000,670.281,309,88
1000,692.404,349,99
1000,679.899,327,90
1000,674.832,317,83
1000,648.926,290,82
1000,671.074,317,78
1000,691.501,327,75
1000,661.348,304,86
1000,671.149,321,91
1000,694.116,364,99
1000,672.906,315,102
1000,661.867,319,102
1000,679.918,344,110
1000,680.675,325,98
1000,659.006,310,91
1000,674.603,338,108
1000,675.63,321,112
1000,682.064,339,116
1000,685.751,335,117
1000,683.547,335,128
1000,692.269,343,138
1000,690.302,342,140
1000,675.984,346,120
1000,676.595,320,116
1000,677.455,329,106
1000,678.147,331,108
1000,674.557,310,107
1000,690.166,318,124
1000,681.971,313,124
1000,671.909,296,111
1000,682.763,339,136
1000,669.314,333,119
1000,671.433,306,110
1000,678.763,322,113
1000,679.052,302,94
1000,698.28,358,109
1000,703.327,351,105
1000,663.658,296,79
1000,671.752,328,89
1000,686.768,329,88
1000,683.592,325,70
1000,684.656,325,65
1000,675.692,338,67
1000,698.53,345,86
1000,703.825,357,83
1000,686.648,357,92
1000,671.907,316,79
1000,672.898,318,73
1000,691.762,353,73
1000,714.534,387,79
1000,686.428,365,69
1000,675.59,330,67
1000,685.312,343,67
1000,689.198,338,74
1000,691.173,348,60
1000,692.327,347,56
1000,692.752,341,54
1000,687.097,355,44
1000,682.142,341,48
1000,691.272,341,40
1000,695.028,356,40
1000,682.828,327,42
1000,679.555,330,36
1000,681.243,339,41
1000,686.212,351,46
1000,709.878,372,44
1000,689.788,347,48
1000,699.281,359,54
1000,676.616,350,59
1000,676.947,325,52
1000,684.94,363,59
1000,686.704,367,69
1000,714.606,390,80
1000,701.133,376,77
1000,685.081,350,73
1000,706.033,385,81
1000,696.774,371,82
1000,691.03,379,88
1000,690.596,361,97
1000,686.353,353,88
1000,693.455,351,86
1000,664.974,348,86
1000,677.485,336,94
1000,685.538,364,89
1000,699.428,386,94
1000,695.34,376,90
1000,699.287,382,91
1000,704.6,379,91
1000,684.607,355,84
1000,684.622,362,73
1000,685.227,373,76
1000,687.969,363,80
1000,683.582,360,88
1000,707.214,359,108
1000,691.861,367,108
1000,698.236,384,115
1000,686.768,340,96
1000,691.38,369,120
1000,697.993,375,107
1000,681.362,330,86
1000,685.397,361,102
1000,701.11,380,114
1000,682.282,350,101
1000,692.285,334,100
1000,675.031,333,104
1000,670.218,328,100
1000,685.829,339,106
1000,670.794,352,110
1000,679.511,359,121
1000,697.679,364,122
1000,694.004,358,126
1000,685.895,360,129
1000,687.466,356,130
1000,689.926,353,147
1000,695.548,353,140
1000,695.44,355,130
1000,683.593,342,122
1000,692.114,350,117
1000,676.687,328,104
1000,686.546,352,120
1000,676.377,317,123
1000,678.441,329,148
1000,684.232,344,173
1000,686.48,335,183
1000,686.064,326,195
1000,685.573,344,231
1000,697.663,357,243
1000,692.429,357,255
1000,695.687,374,298
1000,684.178,354,277
1000,690.925,359,288
1000,688.445,360,295
1000,693.978,355,291
1000,691.125,387,323
1000,669.647,348,288
1000,694.372,392,340
1000,688.234,386,340
1000,671.796,361,310
1000,682.219,371,328
1000,669.01,346,318
1000,707.288,399,368
1000,676.005,358,327
1000,695.632,398,366
1000,681.763,378,343
1000,687.767,382,356
1000,675.171,354,336
1000,680.611,379,358
1000,683.645,389,364
1000,676.419,370,342
1000,704.361,400,373
1000,681.538,362,347
1000,704.122,403,385
1000,685.212,376,359
1000,704.209,387,362
1000,689.392,379,353
1000,691.093,378,357
1000,693.136,403,386
1000,668.383,364,352
1000,693.915,396,384
