POP_BEST,POP_AVG,QUALS_CNT,SOL_CNT
5,0.045,0,0
5,0.493,0,0
8,0.429,0,0
8,1.099,0,0
250,3.453,0,0
250,18.587,0,0
253,147.515,0,0
250,163.774,0,0
253,164.288,0,0
253,159.118,0,0
253,159.585,0,0
1000,158.818,1,1
1000,227.835,79,79
1000,772.466,765,765
1000,785.46,774,774
1000,787.505,768,768
1000,782.508,763,763
1000,775.055,741,741
1000,786.483,742,742
1000,817.84,797,797
1000,778.45,762,762
1000,769.897,757,757
1000,799.388,773,773
1000,805.517,786,786
1000,782.974,770,770
1000,783.959,771,771
1000,797.185,787,787
1000,811.453,799,799
1000,789.818,776,776
1000,785.703,770,770
1000,795.394,778,778
1000,804.732,792,792
1000,797.327,783,783
1000,808.424,796,796
1000,807.165,789,789
1000,805.591,787,787
1000,802.33,780,780
1000,795.99,789,789
1000,800.958,789,789
1000,793.212,780,780
1000,789.509,772,772
1000,783.661,768,768
1000,768.397,750,750
1000,789.097,765,765
1000,818.704,802,802
1000,794.924,780,780
1000,815.973,806,806
1000,816.172,810,810
1000,830.641,817,817
1000,833.185,821,821
1000,792.363,783,783
1000,825.864,820,820
1000,815.172,809,809
1000,807.222,797,797
1000,815.912,797,797
1000,809.177,798,798
1000,819.326,814,814
1000,820.523,811,811
1000,793.051,785,785
1000,786.355,781,781
1000,806.171,797,797
1000,782.222,771,771
1000,790.643,777,777
1000,800.392,793,793
1000,812.936,805,805
1000,811.369,802,802
1000,819.39,811,811
1000,799.605,795,795
1000,814.414,805,805
1000,824.197,812,812
1000,815.749,809,809
1000,809.121,796,796
1000,808.409,798,798
1000,807.751,784,784
1000,805.12,792,792
1000,817.569,806,806
1000,811.723,806,806
1000,825.85,819,819
1000,802.157,794,794
1000,840.95,829,829
1000,814.063,796,795
1000,794.206,789,789
1000,813.253,804,804
1000,843.755,833,833
1000,819.513,811,811
1000,817.778,813,813
1000,824.102,818,815
1000,828.753,823,822
1000,808.117,801,801
1000,810.27,807,807
1000,816.589,807,807
1000,821.584,811,811
1000,834.443,814,814
1000,812.562,792,792
1000,820.98,798,798
1000,832.557,815,815
1000,818.094,800,800
1000,821.415,796,796
1000,813.447,804,804
1000,822.152,813,813
1000,818.579,811,811
1000,838.293,832,832
1000,822.708,818,818
1000,818.377,807,807
1000,807.243,793,793
1000,803.625,791,791
1000,809.782,788,788
1000,811.462,789,789
1000,839.089,828,828
1000,859.514,846,846
1000,806.117,795,795
1000,830.128,825,825
1000,835.808,826,826
1000,825.116,819,819
1000,794.763,790,790
1000,822.837,818,818
1000,816.604,811,811
1000,791.811,783,783
1000,816.173,805,805
1000,812.118,805,805
1000,812.757,807,807
1000,849.327,842,842
1000,810.831,802,802
1000,816.086,805,805
1000,819.995,802,802
1000,820.521,800,800
1000,814.417,804,804
1000,832.564,826,826
1000,816.111,807,807
1000,838.03,826,826
1000,845.099,832,832
1000,830.196,821,821
1000,833.391,827,827
1000,832.013,828,828
1000,837.114,833,833
1000,850.062,841,841
1000,827.142,810,810
1000,828.54,810,810
1000,825.561,809,809
1000,834.242,810,810
1000,841.692,833,833
1000,836.876,829,829
1000,826.674,821,821
1000,843.183,842,842
1000,851.475,849,849
1000,843.064,837,837
1000,815.789,811,811
1000,849.576,841,841
1000,805.45,800,800
1000,821.117,815,815
1000,840.107,838,838
1000,823.62,820,820
1000,829.988,825,825
1000,838.067,836,836
1000,816.089,812,812
1000,815.57,810,810
1000,819.07,814,814
1000,818.319,812,812
1000,835.242,832,832
1000,823.774,816,816
1000,824.641,817,817
1000,825.432,818,818
1000,831.141,827,827
1000,837.832,829,829
1000,826.594,819,819
1000,834.244,829,829
1000,841.733,837,837
1000,839.316,836,836
1000,832.229,826,826
1000,828.14,824,824
1000,826.049,820,820
1000,843.155,834,834
1000,824.304,817,817
1000,848.15,844,844
1000,848.511,848,848
1000,841.103,838,838
1000,819.657,817,817
1000,830.167,828,828
1000,833.235,829,829
1000,851.515,850,850
1000,837.122,835,835
1000,837.104,835,835
1000,831.664,829,829
1000,821.133,817,817
1000,838.01,828,828
1000,840.763,839,839
1000,837.841,832,832
1000,850.106,846,846
1000,829.805,825,825
1000,815.358,811,811
1000,849.196,845,845
1000,840.85,836,836
1000,847.496,840,840
1000,830.105,823,823
1000,842.676,836,836
1000,823.111,821,821
1000,845.097,843,843
1000,834.686,833,833
1000,844.127,843,843
1000,842.622,840,840
1000,832.119,825,825
1000,854.113,850,850
1000,869.051,862,862
1000,843.089,840,840
1000,840.16,839,839
1000,837.134,832,832
1000,839.117,834,834
1000,851.551,850,850
1000,835.293,833,833
1000,841.663,837,837
1000,846.217,845,845
1000,840.578,838,838
1000,852.104,849,849
1000,842.078,839,839
1000,861.121,859,859
1000,873.472,869,869
1000,861.083,856,856
1000,840.153,836,836
1000,849.658,848,848
1000,869.167,867,867
1000,865.307,865,865
1000,850.123,848,848
1000,854.13,852,852
1000,843.134,843,843
1000,852.108,852,852
1000,844.455,843,843
1000,862.455,860,860
1000,848.104,844,844
1000,860.141,858,858
1000,851.113,848,848
1000,864.18,863,863
1000,854.138,854,854
1000,843.164,842,842
1000,868.118,865,865
1000,840.355,840,840
1000,848.121,846,846
1000,847.083,846,846
1000,871.233,869,869
1000,866.053,863,863
1000,863.111,859,859
1000,847.602,845,845
1000,870.059,867,867
1000,836.116,833,833
1000,853.112,849,849
1000,853.104,852,852
1000,850.146,850,850
1000,842.142,839,839
1000,882.148,881,881
1000,875.61,874,874
1000,851.129,851,851
1000,864.095,862,862
1000,857.113,856,856
1000,850.087,848,848
1000,828.088,825,825
1000,859.576,858,858
1000,869.362,866,866
1000,849.545,848,848
1000,838.099,838,838
1000,866.092,866,866
1000,868.864,868,868
1000,838.777,836,836
1000,864.109,862,862
1000,853.772,850,850
1000,849.975,843,843
1000,867.085,864,864
1000,865.097,861,861
1000,866.128,862,862
1000,858.037,854,854
1000,846.604,843,843
1000,855.116,851,851
1000,846.103,844,844
1000,862.183,857,857
1000,840.406,833,833
1000,857.603,852,852
1000,854.116,853,853
1000,867.099,867,867
1000,870.23,868,868
1000,863.08,858,858
1000,837.348,834,834
1000,853.064,848,848
1000,855.309,854,854
1000,834.395,832,832
1000,851.625,849,849
1000,864.135,861,861
1000,861.793,858,858
1000,838.148,833,833
1000,849.681,845,845
1000,849.569,839,839
1000,866.298,855,855
1000,856.998,848,848
1000,861.119,854,854
1000,872.104,868,868
1000,853.116,849,849
1000,856.096,853,853
1000,855.106,852,852
1000,868.094,866,866
1000,848.604,847,847
1000,869.124,867,867
1000,865.07,864,864
1000,875.674,874,874
1000,850.098,848,848
1000,865.116,863,863
1000,861.12,857,857
1000,855.067,847,847
1000,859.093,851,851
1000,842.108,837,837
1000,873.064,868,868
1000,861.076,858,858
1000,866.058,860,860
1000,873.124,872,872
1000,842.908,840,840
1000,864.057,860,860
1000,862.098,858,858
1000,853.088,850,850
1000,881.094,878,878
1000,870.11,864,864
1000,864.098,856,856
1000,863.086,850,850
1000,847.032,826,826
1000,860.03,847,847
1000,873.555,862,862
1000,872.09,869,869
1000,859.096,852,852
1000,875.082,871,871
1000,867.572,863,863
1000,866.089,866,866
1000,870.136,865,865
1000,879.116,879,879
1000,886.083,886,886
1000,867.109,864,864
1000,877.091,874,874
1000,866.157,858,858
1000,847.116,845,845
1000,851.098,849,849
1000,848.542,841,841
1000,875.183,870,870
1000,857.061,849,849
1000,888.981,881,881
1000,838.134,836,836
1000,866.651,865,865
1000,877.082,874,874
1000,850.053,848,848
1000,875.077,872,872
1000,868.148,865,865
1000,857.125,857,857
1000,858.104,855,855
1000,881.055,879,879
1000,870.114,869,869
1000,872.153,868,868
1000,856.307,854,854
1000,850.094,847,847
1000,862.123,861,861
1000,853.93,852,852
1000,866.142,860,860
1000,853.066,845,845
1000,858.648,850,850
1000,849.678,841,841
1000,871.088,861,861
1000,853.116,849,849
1000,858.115,856,856
1000,853.059,849,849
1000,869.064,865,865
1000,856.32,852,852
1000,854.693,852,852
1000,870.089,863,863
1000,872.12,870,870
1000,838.243,838,838
1000,862.128,862,862
1000,870.54,870,870
1000,871.116,871,871
1000,866.072,865,865
1000,886.11,885,885
1000,866.121,864,864
1000,871.093,868,868
1000,854.67,853,853
1000,852.632,851,851
1000,857.135,857,857
1000,855.658,854,854
1000,854.117,854,854
1000,856.124,856,856
1000,868.093,867,867
1000,869.104,868,868
1000,869.099,868,868
1000,864.114,863,863
1000,856.096,855,855
1000,839.121,839,839
1000,825.171,824,824
1000,847.166,844,844
1000,861.178,858,858
1000,862.614,860,860
1000,853.109,853,853
1000,849.129,848,848
1000,858.112,856,856
1000,852.633,847,847
1000,857.162,854,854
1000,851.025,849,849
1000,859.082,856,856
1000,850.106,847,847
1000,863.164,858,858
1000,852.106,849,849
1000,850.121,849,849
1000,862.664,858,858
1000,888.096,886,886
1000,859.118,857,857
1000,854.136,852,852
1000,864.131,863,863
1000,882.098,882,882
1000,850.109,850,850
1000,857.568,856,856
1000,861.124,858,858
1000,869.032,865,865
1000,872.634,871,871
1000,845.135,845,845
1000,885.125,883,883
1000,850.174,848,848
1000,861.134,860,860
1000,855.417,853,853
