POP_BEST,POP_AVG,QUALS_CNT,SOL_CNT
2,0.105,0,0
2,0.725,0,0
2,0.886,0,0
2,0.945,0,0
2,0.907,0,0
2,0.821,0,0
2,0.9,0,0
2,0.915,0,0
2,1.027,0,0
2,0.868,0,0
2,0.947,0,0
2,1.225,0,0
2,1.018,0,0
2,0.724,0,0
2,1.169,0,0
2,1.114,0,0
2,0.911,0,0
2,1.1,0,0
2,1.083,0,0
2,0.843,0,0
2,1.065,0,0
2,0.958,0,0
2,1.033,0,0
2,1.03,0,0
2,1.021,0,0
2,1.021,0,0
2,1.095,0,0
2,1.068,0,0
2,0.95,0,0
2,1.043,0,0
2,1.084,0,0
3,0.941,0,0
2,0.966,0,0
2,1.156,0,0
2,1.138,0,0
2,1.283,0,0
2,1.393,0,0
2,1.139,0,0
2,1.216,0,0
2,1.362,0,0
2,1.475,0,0
2,1.362,0,0
2,1.38,0,0
2,1.204,0,0
2,1.348,0,0
2,1.464,0,0
2,1.451,0,0
2,1.281,0,0
2,1.202,0,0
2,1.233,0,0
2,1.224,0,0
2,1.011,0,0
2,1.356,0,0
2,1.516,0,0
2,1.473,0,0
2,1.46,0,0
2,1.153,0,0
2,1.339,0,0
2,1.406,0,0
2,1.124,0,0
2,1.401,0,0
2,1.215,0,0
2,1.461,0,0
2,1.368,0,0
2,1.28,0,0
2,1.198,0,0
2,1.414,0,0
2,1.422,0,0
2,1.23,0,0
2,1.211,0,0
2,1.458,0,0
2,1.066,0,0
2,1.426,0,0
2,1.083,0,0
2,1.162,0,0
2,0.945,0,0
2,1.2,0,0
2,1.081,0,0
2,1.029,0,0
2,0.82,0,0
2,1.171,0,0
2,1.168,0,0
2,1.181,0,0
2,0.986,0,0
2,1.272,0,0
2,1.259,0,0
2,1.016,0,0
2,1.497,0,0
2,1.435,0,0
2,1.4,0,0
2,1.332,0,0
2,1.161,0,0
2,1.46,0,0
2,1.498,0,0
2,1.282,0,0
2,1.371,0,0
2,1.275,0,0
2,1.316,0,0
2,1.49,0,0
2,1.506,0,0
2,1.439,0,0
2,1.435,0,0
2,1.464,0,0
2,1.471,0,0
2,1.454,0,0
2,1.276,0,0
3,1.468,0,0
3,1.234,0,0
3,0.988,0,0
3,1.256,0,0
3,1.44,0,0
3,1.427,0,0
3,1.444,0,0
3,1.44,0,0
